Date;Day;Month;Year;Customer_Age;Age_Group;Customer_Gender;Country;State;Product_Category;Sub_Category;Product;Order_Quantity;Unit_Cost;Unit_Price;Profit;Total_Cost;Total_Price
2015-12-26;26;December;2015;49;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2014-01-02;2;January;2014;48;Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2016-01-02;2;January;2016;48;Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2014-03-13;13;March;2014;48;Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;20;45;120;1500;900;2400
2016-03-13;13;March;2016;48;Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;22;45;120;1650;990;2640
2014-05-23;23;May;2014;47;Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;24;45;120;1800;1080;2880
2016-05-23;23;May;2016;47;Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;23;45;120;1725;1035;2760
2013-07-19;19;July;2013;32;Young Adults;F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2015-07-19;19;July;2015;32;Young Adults;F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2013-11-11;11;November;2013;34;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;25;45;120;1875;1125;3000
2015-11-11;11;November;2015;34;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;23;45;120;1725;1035;2760
2013-07-13;13;July;2013;43;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2015-07-13;13;July;2015;43;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2014-03-31;31;March;2014;43;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;11;45;120;825;495;1320
2016-03-31;31;March;2016;43;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;11;45;120;825;495;1320
2013-08-28;28;August;2013;61;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2015-08-28;28;August;2015;61;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2013-08-27;27;August;2013;57;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2015-08-27;27;August;2015;57;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2013-11-17;17;November;2013;29;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2015-11-17;17;November;2015;29;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;14;45;120;1050;630;1680
2013-08-07;7;August;2013;38;Adults;M;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-08-07;7;August;2015;38;Adults;M;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2013-07-15;15;July;2013;52;Adults;F;France;Seine Saint Denis;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2015-07-15;15;July;2015;52;Adults;F;France;Seine Saint Denis;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2013-08-17;17;August;2013;43;Adults;F;France;Moselle;Accessories;Bike Racks;Hitch Rack - 4-Bike;28;45;120;2100;1260;3360
2015-08-17;17;August;2015;43;Adults;F;France;Moselle;Accessories;Bike Racks;Hitch Rack - 4-Bike;27;45;120;2025;1215;3240
2013-07-17;17;July;2013;24;Youth;F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2015-07-17;17;July;2015;24;Youth;F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2013-12-31;31;December;2013;23;Youth;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2015-12-31;31;December;2015;23;Youth;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-09-17;17;September;2013;29;Young Adults;F;United Kingdom;England;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1125;675;1800
2015-09-17;17;September;2015;29;Young Adults;F;United Kingdom;England;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1125;675;1800
2013-09-24;24;September;2013;32;Young Adults;M;France;Nord;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2015-09-24;24;September;2015;32;Young Adults;M;France;Nord;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2013-09-25;25;September;2013;19;Youth;F;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2015-09-25;25;September;2015;19;Youth;F;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2013-11-26;26;November;2013;26;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2015-11-26;26;November;2015;26;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2013-08-03;3;August;2013;35;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2015-08-03;3;August;2015;35;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-06-19;19;June;2014;35;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2016-06-19;19;June;2016;35;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2014-03-04;4;March;2014;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2016-03-04;4;March;2016;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2014-05-30;30;May;2014;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2016-05-30;30;May;2016;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2014-06-28;28;June;2014;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2016-06-28;28;June;2016;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2014-07-10;10;July;2014;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;13;45;120;975;585;1560
2016-07-10;10;July;2016;38;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2014-03-12;12;March;2014;54;Adults;F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2016-03-12;12;March;2016;54;Adults;F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2013-09-03;3;September;2013;51;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2015-09-03;3;September;2015;51;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2014-03-26;26;March;2014;47;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2016-03-26;26;March;2016;47;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2014-05-04;4;May;2014;47;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;17;45;120;1275;765;2040
2016-05-04;4;May;2016;47;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;16;45;120;1200;720;1920
2014-02-04;4;February;2014;46;Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2016-02-04;4;February;2016;46;Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2013-11-06;6;November;2013;46;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2015-11-06;6;November;2015;46;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2014-02-12;12;February;2014;46;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;30;45;120;2250;1350;3600
2016-02-12;12;February;2016;46;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;27;45;120;2025;1215;3240
2014-05-17;17;May;2014;46;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2016-05-17;17;May;2016;46;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2013-09-23;23;September;2013;41;Adults;F;Germany;Hessen;Accessories;Bike Racks;Hitch Rack - 4-Bike;28;45;120;2100;1260;3360
2015-09-23;23;September;2015;41;Adults;F;Germany;Hessen;Accessories;Bike Racks;Hitch Rack - 4-Bike;29;45;120;2175;1305;3480
2013-09-20;20;September;2013;32;Young Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-09-20;20;September;2015;32;Young Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2013-10-25;25;October;2013;32;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2015-10-25;25;October;2015;32;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2014-05-11;11;May;2014;32;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;26;45;120;1950;1170;3120
2016-05-11;11;May;2016;32;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;27;45;120;2025;1215;3240
2013-09-29;29;September;2013;33;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2015-09-29;29;September;2015;33;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2014-05-16;16;May;2014;33;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1125;675;1800
2016-05-16;16;May;2016;33;Young Adults;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1125;675;1800
2014-05-23;23;May;2014;42;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2016-05-23;23;May;2016;42;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2013-08-06;6;August;2013;42;Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;17;45;120;1275;765;2040
2015-08-06;6;August;2015;42;Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;16;45;120;1200;720;1920
2013-10-14;14;October;2013;43;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2015-10-14;14;October;2015;43;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2013-12-06;6;December;2013;43;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2015-12-06;6;December;2015;43;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2013-12-18;18;December;2013;45;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-12-18;18;December;2015;45;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2013-09-13;13;September;2013;53;Adults;M;United Kingdom;England;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2015-09-13;13;September;2015;53;Adults;M;United Kingdom;England;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2013-10-27;27;October;2013;21;Youth;F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-10-27;27;October;2015;21;Youth;F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-01-02;2;January;2014;34;Young Adults;F;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2016-01-02;2;January;2016;34;Young Adults;F;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2014-05-10;10;May;2014;22;Youth;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2016-05-10;10;May;2016;22;Youth;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-04-27;27;April;2014;67;Seniors;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2016-04-27;27;April;2016;67;Seniors;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2013-12-22;22;December;2013;31;Young Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-12-22;22;December;2015;31;Young Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2013-11-28;28;November;2013;31;Young Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2015-11-28;28;November;2015;31;Young Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2014-07-28;28;July;2014;37;Adults;M;France;Nord;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2016-07-28;28;July;2016;37;Adults;M;France;Nord;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2014-04-13;13;April;2014;26;Young Adults;M;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2016-04-13;13;April;2016;26;Young Adults;M;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2014-02-19;19;February;2014;87;Seniors;F;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2016-02-19;19;February;2016;87;Seniors;F;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2013-12-09;9;December;2013;25;Young Adults;F;Germany;Nordrhein-Westfalen;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2015-12-09;9;December;2015;25;Young Adults;F;Germany;Nordrhein-Westfalen;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2014-05-17;17;May;2014;31;Young Adults;F;Germany;Hamburg;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2016-05-17;17;May;2016;31;Young Adults;F;Germany;Hamburg;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2014-06-06;6;June;2014;32;Young Adults;F;France;Loir et Cher;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2016-06-06;6;June;2016;32;Young Adults;F;France;Loir et Cher;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-08-18;18;August;2013;25;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2015-08-18;18;August;2015;25;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2013-09-20;20;September;2013;26;Young Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2015-09-20;20;September;2015;26;Young Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2013-12-29;29;December;2013;26;Young Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2015-12-29;29;December;2015;26;Young Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2014-03-30;30;March;2014;33;Young Adults;M;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2016-03-30;30;March;2016;33;Young Adults;M;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2013-11-09;9;November;2013;29;Young Adults;F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2015-11-09;9;November;2015;29;Young Adults;F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2013-12-31;31;December;2013;24;Youth;F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2015-12-31;31;December;2015;24;Youth;F;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-08-30;30;August;2013;31;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2015-08-30;30;August;2015;31;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2013-11-04;4;November;2013;40;Adults;M;United States;Kentucky;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2015-11-04;4;November;2015;40;Adults;M;United States;Kentucky;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-01-31;31;January;2014;44;Adults;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2016-01-31;31;January;2016;44;Adults;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2014-05-28;28;May;2014;44;Adults;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2016-05-28;28;May;2016;44;Adults;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2013-09-07;7;September;2013;21;Youth;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2015-09-07;7;September;2015;21;Youth;F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-04-17;17;April;2014;25;Young Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2016-04-17;17;April;2016;25;Young Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-09-29;29;September;2013;25;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2015-09-29;29;September;2015;25;Young Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2013-07-31;31;July;2013;29;Young Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;25;45;120;1875;1125;3000
2015-07-31;31;July;2015;29;Young Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;22;45;120;1650;990;2640
2013-08-03;3;August;2013;29;Young Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;11;45;120;825;495;1320
2015-08-03;3;August;2015;29;Young Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;11;45;120;825;495;1320
2014-02-27;27;February;2014;55;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2016-02-27;27;February;2016;55;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2013-09-13;13;September;2013;55;Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2015-09-13;13;September;2015;55;Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2014-06-08;8;June;2014;55;Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2016-06-08;8;June;2016;55;Adults;M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2014-06-05;5;June;2014;55;Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1125;675;1800
2016-06-05;5;June;2016;55;Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1125;675;1800
2013-12-15;15;December;2013;53;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2015-12-15;15;December;2015;53;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2014-01-17;17;January;2014;53;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;30;45;120;2250;1350;3600
2016-01-17;17;January;2016;53;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;29;45;120;2175;1305;3480
2014-05-07;7;May;2014;53;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2016-05-07;7;May;2016;53;Adults;F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2013-11-10;10;November;2013;50;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;750;450;1200
2015-11-10;10;November;2015;50;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2013-08-19;19;August;2013;55;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;900;540;1440
2015-08-19;19;August;2015;55;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2013-09-18;18;September;2013;55;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-09-18;18;September;2015;55;Adults;M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2013-12-14;14;December;2013;59;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;30;45;120;2250;1350;3600
2015-12-14;14;December;2015;59;Adults;F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;30;45;120;2250;1350;3600
2014-01-01;1;January;2014;24;Youth;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2016-01-01;1;January;2016;24;Youth;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
